2025-11-15T09:27:09.307713 | README.md | OK
2025-11-15T09:27:09.309357 | input_data.py | OK
2025-11-15T09:27:09.310106 | LICENSE | OK
2025-11-15T09:27:09.310662 | .gitignore | OK
2025-11-15T09:27:09.314401 | repo_book_generator.py | OK
2025-11-15T09:27:09.315147 | notebooks/README.md | OK
2025-11-15T09:27:09.316486 | notebooks/4_Utils/tensorboard_advanced.ipynb | OK
2025-11-15T09:27:09.317795 | notebooks/4_Utils/save_restore_model.ipynb | OK
2025-11-15T09:27:09.318966 | notebooks/4_Utils/tensorboard_basic.ipynb | OK
2025-11-15T09:27:09.319986 | notebooks/6_MultiGPU/multigpu_basics.ipynb | OK
2025-11-15T09:27:09.321489 | notebooks/6_MultiGPU/multigpu_cnn.ipynb | OK
2025-11-15T09:27:09.322507 | notebooks/1_Introduction/helloworld.ipynb | OK
2025-11-15T09:27:09.323610 | notebooks/1_Introduction/basic_operations.ipynb | OK
2025-11-15T09:27:09.324669 | notebooks/1_Introduction/basic_eager_api.ipynb | OK
2025-11-15T09:27:09.326052 | notebooks/3_NeuralNetworks/neural_network_eager_api.ipynb | OK
2025-11-15T09:27:09.328081 | notebooks/3_NeuralNetworks/bidirectional_rnn.ipynb | OK
2025-11-15T09:27:09.329378 | notebooks/3_NeuralNetworks/neural_network_raw.ipynb | OK
2025-11-15T09:27:09.330714 | notebooks/3_NeuralNetworks/recurrent_network.ipynb | OK
2025-11-15T09:27:09.333871 | notebooks/3_NeuralNetworks/autoencoder.ipynb | OK
2025-11-15T09:27:09.335489 | notebooks/3_NeuralNetworks/dynamic_rnn.ipynb | OK
2025-11-15T09:27:09.337888 | notebooks/3_NeuralNetworks/convolutional_network.ipynb | OK
2025-11-15T09:27:09.341231 | notebooks/3_NeuralNetworks/dcgan.ipynb | OK
2025-11-15T09:27:09.344024 | notebooks/3_NeuralNetworks/gan.ipynb | OK
2025-11-15T09:27:09.356806 | notebooks/3_NeuralNetworks/variational_autoencoder.ipynb | OK
2025-11-15T09:27:09.358358 | notebooks/3_NeuralNetworks/convolutional_network_raw.ipynb | OK
2025-11-15T09:27:09.360361 | notebooks/3_NeuralNetworks/neural_network.ipynb | OK
2025-11-15T09:27:09.361225 | notebooks/0_Prerequisite/ml_introduction.ipynb | OK
